"STATION","NAME","DATE","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-03-06","0.04",",,W,2400","48",",,W","32",",,W","    1",",,W",,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-03-07","0.00","T,,W,2400","40",",,W","30",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-03-08","0.00","T,,W,2400","42",",,W","28",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-03-09","0.00","T,,W,2400","51",",,W","25",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-03-10","0.00",",,W,2400","53",",,W","34",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-03-11","0.27",",,W,2400","45",",,W","31",",,W","    1",",,W",,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-03-12","0.00",",,W,2400","47",",,W","30",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-03-13","0.00",",,W,2400","49",",,W","28",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-03-14","0.00",",,W,2400","57",",,W","24",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-03-15","0.00",",,W,2400","69",",,W","41",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-03-16","0.34",",,W,2400","50",",,W","39",",,W","    1",",,W",,,"    1",",,W",,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-03-17","0.00",",,W,2400","48",",,W","40",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-03-18","0.00","T,,W,2400","43",",,W","38",",,W","    1",",,W",,,,,,,,,"    1",",,W"
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-03-19","1.43",",,W,2400","48",",,W","40",",,W","    1",",,W",,,"    1",",,W",,,,,"    1",",,W"
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-03-20","0.00","T,,W,2400","45",",,W","34",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-03-21","0.00",",,W,2400","51",",,W","33",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-03-22","0.00","T,,W,2400","51",",,W","31",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-03-23","0.26",",,W,2400","52",",,W","42",",,W","    1",",,W",,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-03-24","0.81",",,W,2400","43",",,W","35",",,W","    1",",,W",,,"    1",",,W",,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-03-25","0.00","T,,W,2400","50",",,W","35",",,W","    1",",,W",,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-03-26","1.01",",,W,2400","55",",,W","38",",,W","    1",",,W",,,"    1",",,W",,,,,,
